Date,series,OPEN,HIGH,LOW,PREV_CLOSE,LTP,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
07-Jul-17,EQ,840.5,840.5,828.8,840.65,832,831.9,832.01,909.6,710.25,1151617,"95,81,53,517.90",43966
10-Jul-17,EQ,834,856.85,830.1,831.9,848.55,849.65,846.64,909.6,710.25,234294,"19,83,61,677.00",4274
11-Jul-17,EQ,845.65,869,845.65,849.65,850,850.65,858,909.6,710.25,1496700,"1,28,41,63,046.30",37920
12-Jul-17,EQ,850.1,858.5,846.05,850.65,856.05,854,851,909.6,710.25,602978,"51,31,36,503.45",44329
13-Jul-17,EQ,856.1,863.9,855.5,854,859.5,858.6,860.37,909.6,710.25,956409,"82,28,67,012.65",31337
14-Jul-17,EQ,860,860.4,845.05,858.6,850,850.35,850.17,909.6,710.25,644058,"54,75,59,041.45",26324
17-Jul-17,EQ,849,870,843.9,850.35,868.95,868.1,862.84,909.6,715,909007,"78,43,24,063.70",49203
18-Jul-17,EQ,869.1,884.3,868.35,868.1,880.25,880.7,877.38,909.6,715,988689,"86,74,51,637.40",46488
19-Jul-17,EQ,885,899.6,885,880.7,898.7,895.4,893.51,909.6,715,1456444,"1,30,13,53,545.90",45301
20-Jul-17,EQ,899,899,882.4,895.4,884,885.65,887.64,909.6,715,806884,"71,62,25,383.50",22321
21-Jul-17,EQ,884,908,884,885.65,902.6,904.95,902.72,909.6,715,1241810,"1,12,10,06,710.15",37012
24-Jul-17,EQ,904.95,912,901.2,904.95,902.2,907.4,907.31,912,725,1502220,"1,36,29,84,733.30",38823
25-Jul-17,EQ,902,904.9,886,907.4,897,895.05,892.63,912,725,1792333,"1,59,98,93,298.15",66968
26-Jul-17,EQ,893,903.5,884,895.05,888,892.7,892.5,912,725,1511857,"1,34,93,33,847.80",33807
27-Jul-17,EQ,903,928,885.35,892.7,899,890.25,907.89,928,725,4659826,"4,23,06,15,153.75",79071
28-Jul-17,EQ,888,896.9,841,890.25,891,893.1,886.22,928,725,1521381,"1,34,82,72,744.25",43090
31-Jul-17,EQ,888,898,878.45,893.1,890.6,892.9,887.99,928,736,947283,"84,11,77,479.65",44889
01-Aug-17,EQ,889,898,878,892.9,888,884.2,882.67,928,736,1332277,"1,17,59,63,943.60",49241
02-Aug-17,EQ,888,893,876.9,884.2,881,882,887.56,928,736,829090,"73,58,65,722.40",33291
03-Aug-17,EQ,882.2,884.4,870.95,882,875.3,875.75,876.27,928,736,1272005,"1,11,46,19,376.05",69279
04-Aug-17,EQ,875,894.5,873.1,875.75,888.8,890.65,886.68,928,736,570710,"50,60,36,988.40",43754
07-Aug-17,EQ,890,894.7,881.4,890.65,886,886,885.86,928,736,823485,"72,94,88,682.65",36779
08-Aug-17,EQ,882.6,885.4,876.1,886,882.5,882,880.98,928,736,865948,"76,28,86,364.40",42682
09-Aug-17,EQ,871,884.65,871,882,879.45,878.75,879.13,928,736,535846,"47,10,76,167.55",31193
10-Aug-17,EQ,873.05,886,870.8,878.75,886,882.9,878.84,928,736,846537,"74,39,74,435.45",46646
11-Aug-17,EQ,878.1,889.2,864.55,882.9,871,872.3,872.03,928,736,1692430,"1,47,58,51,752.50",71544
14-Aug-17,EQ,873,878.4,856.05,872.3,862,860.1,867.49,928,736,404049,"35,05,07,672.00",21082
16-Aug-17,EQ,864,868.65,851,860.1,866.9,864.5,858.44,928,736,1125005,"96,57,49,561.95",29381
17-Aug-17,EQ,872.4,875.1,860.75,864.5,873.35,871.4,870.1,928,736,801175,"69,70,99,249.40",33883
18-Aug-17,EQ,873.85,884.7,863.55,871.4,876,876.25,877.21,928,736,1064955,"93,41,85,147.35",52276
21-Aug-17,EQ,877.75,885,870.2,876.25,871.5,874.05,877.87,928,736,669837,"58,80,30,523.35",33935
22-Aug-17,EQ,881,886.25,873.3,874.05,877.3,875.85,879.98,928,736,753231,"66,28,30,748.35",41372
23-Aug-17,EQ,877.9,882.95,863,875.85,882.5,880,872.47,928,736,754889,"65,86,18,373.50",36863
24-Aug-17,EQ,884,884,866,880,866.2,867.5,872.27,928,736,812123,"70,83,89,160.95",42616
28-Aug-17,EQ,868.3,874.55,857.85,867.5,869.7,867.65,869.01,928,736,896254,"77,88,55,092.00",37719
29-Aug-17,EQ,868,869.6,850,867.65,851.15,852.55,852.91,928,736,972794,"82,97,09,657.25",46355
30-Aug-17,EQ,857,858,843.25,852.55,852,849.2,847.08,928,736,1693925,"1,43,48,85,515.05",72535
31-Aug-17,EQ,850,870.4,840.2,849.2,855,865.3,856.22,928,736,2509541,"2,14,87,11,233.45",72861
01-Sep-17,EQ,863.6,885,855,865.3,867.65,865.75,862.23,928,736,800259,"69,00,05,468.60",43786
04-Sep-17,EQ,873.9,873.9,857,865.75,857.5,860.6,863.21,928,736,574971,"49,63,20,300.75",22212
05-Sep-17,EQ,858,862.5,848.4,860.6,860,859.9,856.3,928,736,547807,"46,90,86,207.60",22337
06-Sep-17,EQ,863,872,846.2,859.9,852,851.05,860.43,928,736,829386,"71,36,32,555.80",26371
07-Sep-17,EQ,857.4,863.7,851.25,851.05,858.05,859.3,854.12,928,736,1474659,"1,25,95,31,953.15",58447
